Milliseconds,Degrees
3,0.0
100,0.0
200,0.0
301,0.0
400,0.0
501,0.0
602,0.0
700,0.0
801,0.0
900,0.0
1000,0.0
1101,0.0
1200,0.0
1300,0.0
1400,0.0
1500,0.0
1601,0.0
1700,0.0
1801,0.0
1900,0.0
2000,0.0
2100,0.0
2200,0.0
2301,0.0
2400,0.0
2500,0.0
2600,0.0
2700,0.0
2800,0.0
2900,0.0
3001,0.0
3100,0.0
3200,0.0
3300,0.0
3400,0.0
3500,0.0
3601,0.0
3700,0.0
3800,0.0
3900,0.0
4000,0.0
4100,0.0
4201,0.0
4300,0.0
4400,0.0
4500,0.0
4600,0.0
4700,0.0
4801,0.0
4900,0.0
5000,0.0
5100,0.0
5200,0.0
5300,0.0
5401,0.0
5500,0.0
5600,0.0
5700,0.0
5800,0.0
5900,0.0
6001,0.0
6100,0.0
6200,0.0
6300,0.0
6400,0.0
6501,0.0
6600,0.0
6701,0.0
6800,0.0
6900,0.0
7000,0.0
7100,0.0
7201,0.0
7300,0.0
7400,0.0
7500,0.0
7600,0.0
7701,0.0
7800,0.0
7900,0.0
8000,0.0
8100,0.0
8201,0.0
8300,0.0
8400,0.0
8500,0.0
8600,0.0
8700,0.0
8801,0.0
8900,0.0
9000,0.0
9100,0.0
9200,0.0
9301,0.0
9400,0.0
9500,0.0
9600,0.0
9700,0.0
9800,0.0
9901,0.0
10000,0.0
10100,0.0
10200,0.0
10300,0.0
10401,0.0
10500,0.0
10600,0.0
10700,0.0
10800,0.0
10900,0.0
11001,0.0
11100,0.0
11200,0.0
11300,0.0
11400,0.0
11501,0.0
11600,0.0
11700,0.0
11800,0.0
11901,0.0
12000,0.0
12100,0.0
12200,0.0
12300,0.0
12401,0.0
12500,0.0
12600,0.0
12700,0.0
12800,0.0
12901,0.0
13001,0.0
13100,0.0
13200,0.0
13300,0.0
13400,0.0
13500,0.0
13601,0.0
13700,0.0
13800,0.0
13900,0.0
14000,0.0
14100,0.0
14201,0.0
14300,0.0
14400,0.0
14500,0.0
14600,0.0
14701,0.0
14800,0.0
14900,0.0
15000,0.0
15103,0.0
15200,0.0
15300,0.0
15400,0.0
15500,0.0
15601,0.0
15700,0.0
15800,0.0
15900,0.0
16000,0.0
16100,0.0
16201,0.0
16300,0.0
16400,0.0
16500,0.0
16601,0.0
16700,0.0
16800,0.0
16900,0.0
17000,0.0
17100,0.0
17201,0.0
17300,0.0
17400,0.0
17500,0.0
17600,0.0
17701,0.0
17800,0.0
17900,0.0
18000,0.0
18100,0.0
18201,0.0
18301,0.0
18400,0.0
18500,0.0
18601,0.0
18700,0.0
18800,0.0
18902,0.0
19000,0.0
19100,0.0
19200,0.0
19301,0.0
19400,0.0
19500,0.0
19600,0.0
19700,0.0
19801,0.0
19900,0.0
20000,0.0
20100,0.0
20200,0.0
20301,0.0
20400,0.0
20500,0.0
20600,0.0
20700,0.0
20800,0.0
20901,0.0
21000,0.0
21100,0.0
21200,0.0
21300,0.0
21401,0.0
21500,0.0
21600,0.0
21700,0.0
21800,0.0
21900,0.0
22001,0.0
22100,0.0
22200,0.0
22300,0.0
22400,0.0
22501,0.0
22600,0.0
22700,0.0
22800,0.0
22900,0.0
23001,0.0
23100,0.0
23200,0.0
23300,0.0
23400,0.0
23500,0.0
23601,0.0
23703,0.0
23800,0.0
23900,0.0
24000,0.0
24100,0.0
24200,0.0
24301,0.0
24400,0.0
24500,0.0
24600,0.0
24701,0.0
24800,0.0
24900,0.0
25000,0.0
25100,0.0
25200,0.0
25301,0.0
25400,0.0
25500,0.0
25600,0.0
25701,0.0
25800,0.0
25900,0.0
26000,0.0
26100,0.0
26200,0.0
26301,0.0
26400,0.0
26500,0.0
26600,0.0
26701,0.0
26800,0.0
26900,0.0
27000,0.0
27100,0.0
27201,0.0
27300,0.0
27400,0.0
27500,0.0
27600,0.0
27701,0.0
27800,0.0
27900,0.0
28001,0.0
28100,0.0
28200,0.0
28300,0.0
28400,0.0
28500,0.0
28601,0.0
28700,0.0
28800,0.0
28900,0.0
29000,0.0
29101,0.0
29200,0.0
29300,0.0
29400,0.0
29500,0.0
29601,0.0
29700,0.0
29800,0.0
29900,0.0
30000,0.0
30100,0.0
30201,0.0
30300,0.0
30400,0.0
30500,0.0
30601,0.0
30700,0.0
30800,0.0
30900,0.0
31000,0.0
31100,0.0
31201,0.0
31300,0.0
31400,0.0
31500,0.0
31600,0.0
31700,0.0
31800,0.0
31900,0.0
32000,0.0
32100,0.0
32200,0.0
32301,0.0
32400,0.0
32500,0.0
32600,0.0
32700,0.0
32800,0.0
32901,0.0
33000,0.0
33100,0.0
33201,0.0
33300,0.0
33400,0.0
33500,0.0
33601,0.0
33701,0.0
33800,0.0
33900,0.0
34000,0.0
34103,0.0
34201,0.0
34300,0.0
34400,0.0
34501,0.0
34600,0.0
34700,0.0
34800,0.0
34900,0.0
35000,0.0
35101,0.0
35200,0.0
35301,0.0
35400,0.0
35500,0.0
35600,0.0
35702,0.0
35800,0.0
35901,0.0
36001,0.0
36100,0.0
36200,0.0
36300,0.0
36401,0.0
36500,0.0
36600,0.0
36701,0.0
36800,0.0
36900,0.0
37000,0.0
37100,0.0
37201,0.0
37302,0.0
37401,0.0
37500,0.0
37601,0.0
37700,0.0
37800,0.0
38190,0.0
38190,0.0
38190,0.0
38200,0.0
38300,0.0
38401,0.0
38500,0.0
38600,0.0
38701,0.0
38800,0.0
38900,0.0
39000,0.0
39101,0.0
39200,0.0
39300,0.0
39400,0.0
39500,0.0
39603,0.0
39701,0.0
39803,0.0
39900,0.0
40001,0.0
40100,0.0
40201,0.0
40300,0.0
40400,0.0
40501,0.0
40600,0.0
40702,0.0
40800,0.0
40900,0.0
41001,0.0
41100,0.0
41200,0.0
41300,0.0
41401,0.0
41500,0.0
41600,0.0
41701,0.0
41802,0.0
41901,0.0
42000,0.0
42100,0.0
42204,0.0
42301,0.0
42401,0.0
42500,0.0
42600,0.0
42700,0.0
42800,0.0
42901,0.0
43000,0.0
43100,0.0
43200,0.0
43301,0.0
43400,0.0
43500,0.0
43600,0.0
43704,0.0
43800,0.0
43901,0.0
44000,0.0
44100,0.0
44202,0.0
44300,0.0
44402,0.0
44500,0.0
44600,0.0
44701,0.0
44801,0.0
44900,0.0
45000,0.0
45100,0.0
45201,0.0
45303,0.0
45400,0.0
45500,0.0
45600,0.0
45701,0.0
45803,0.0
45900,0.0
46000,0.0
46101,0.0
46200,0.0
46300,0.0
46400,0.0
46501,0.0
46600,0.0
46700,0.0
46800,0.0
46901,0.0
47000,0.0
47100,0.0
47201,0.0
47301,0.0
47402,0.0
47500,0.0
47600,0.0
47700,0.0
47800,0.0
47901,0.0
48000,0.0
48100,0.0
48200,0.0
48300,0.0
48401,0.0
48501,0.0
48601,0.0
48700,0.0
48801,0.0
48900,0.0
49001,0.0
49100,0.0
49200,0.0
49300,0.0
49400,0.0
49501,0.0
49600,0.0
49701,0.0
49800,0.0
49900,0.0
50000,0.0
50100,0.0
50201,0.0
50300,0.0
50400,0.0
50500,0.0
50601,0.0
50700,0.0
50801,0.0
50901,0.0
51001,0.0
51100,0.0
51201,0.0
51300,0.0
51400,0.0
51501,0.0
51601,0.0
51700,0.0
51800,0.0
51900,0.0
52001,0.0
52100,0.0
52200,0.0
52301,0.0
52400,0.0
52501,0.0
52600,0.0
52700,0.0
52801,0.0
52900,0.0
53000,0.0
53101,0.0
53201,0.0
53300,0.0
53400,0.0
53501,0.0
53600,0.0
53701,0.0
53800,0.0
53901,0.0
54000,0.0
54101,0.0
54200,0.0
54300,0.0
54401,0.0
54500,0.0
54600,0.0
54700,0.0
54800,0.0
54901,0.0
55000,0.0
55100,0.0
55201,0.0
55300,0.0
55400,0.0
55500,0.0
55600,0.0
55700,0.0
55801,0.0
55900,0.0
56000,0.0
56101,0.0
56200,0.0
56300,0.0
56400,0.0
56500,0.0
56601,0.0
56700,0.0
56800,0.0
56902,0.0
57000,0.0
57101,0.0
57200,0.0
57302,0.0
57400,0.0
57500,0.0
57601,0.0
57700,0.0
57801,0.0
57900,0.0
58001,0.0
58101,0.0
58200,0.0
58300,0.0
58400,0.0
58501,0.0
58600,0.0
58700,0.0
58801,0.0
58900,0.0
59001,0.0
59100,0.0
59200,0.0
59301,0.0
59401,0.0
59500,0.0
59600,0.0
59700,0.0
59801,0.0
59900,0.0
60000,0.0
60100,0.0
60201,0.0
60300,0.0
60400,0.0
60500,0.0
60600,0.0
60700,0.0
60801,0.0
60900,0.0
61000,0.0
61101,0.0
61200,0.0
61300,0.0
61400,0.0
61500,0.0
61600,0.0
61701,0.0
61800,0.0
61900,0.0
62000,0.0
62101,0.0
62200,0.0
62300,0.0
62401,0.0
62500,0.0
62600,0.0
62700,0.0
62800,0.0
62901,0.0
63000,0.0
63101,0.0
63200,0.0
63301,0.0
63401,0.0
63500,0.0
63600,0.0
63703,0.0
63800,0.0
63901,0.0
64001,0.0
64100,0.0
64200,0.0
64301,0.0
64400,0.0
64500,0.0
64601,0.0
64701,0.0
64800,0.0
64901,0.0
65001,0.0
65100,0.0
65200,0.0
65300,0.0
65400,0.0
65501,0.0
65601,0.0
65700,0.0
65800,0.0
65901,0.0
66000,0.0
66101,0.0
66200,0.0
